Genome	SSU	Copy ratio	Organism	Species	Strain	
GCA_000183665	SSU_1:SSU_2:SSU_3	1:1:1	Candidatus Liberibacter solanacearum CLso-ZC1	Candidatus Liberibacter	CLso-ZC1
GCA_000183725	SSU_2:SSU_1	2:1	Sulfuricurvum kujiense DSM 16994	Sulfuricurvum kujiense	DSM 16994
GCA_000183745	SSU_1	2	Oceanithermus profundus DSM 14977	Oceanithermus profundus	DSM 14977
GCA_000184065	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Pseudoalteromonas sp. SM9913	Pseudoalteromonas sp.	SM9913
GCA_000184085	SSU_1:SSU_2	2:1	Campylobacter jejuni subsp. jejuni ICDCCJ07001	Campylobacter jejuni	ICDCCJ07001
GCA_000184185	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	3:1:1:1:1	Escherichia coli W	Escherichia coli	W
GCA_000184205	SSU_1	3	Campylobacter jejuni subsp. jejuni S3	Campylobacter jejuni	S3
GCA_000184325	SSU_1:SSU_5:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Vibrio furnissii NCTC 11218	Vibrio furnissii	NCTC 11218
GCA_000184345	SSU_1	2	Spirochaeta thermophila DSM 6578	Spirochaeta thermophila	DSM 6578
GCA_000184435	SSU_1	2	Mycolicibacterium gilvum Spyr1	Mycolicibacterium gilvum	Spyr1
GCA_000184685	SSU_1:SSU_2	1:1	Intrasporangium calvum DSM 43043	Intrasporangium calvum	DSM 43043
GCA_000184705	SSU_1:SSU_2	1:1	Thermaerobacter marianensis DSM 12885	Thermaerobacter marianensis	DSM 12885
GCA_000184745	SSU_1	2	Variovorax paradoxus EPS	Variovorax paradoxus	EPS
GCA_000184925	SSU_2:SSU_1:SSU_3	2:1:1	Hungateiclostridium thermocellum DSM 1313	Hungateiclostridium thermocellum	DSM 1313
GCA_000185205	SSU_1	2	Helicobacter pylori Gambia94/24	Helicobacter pylori	Gambia94/24
GCA_000185225	SSU_1	2	Helicobacter pylori Lithuania75	Helicobacter pylori	Lithuania75
GCA_000185245	SSU_1	2	Helicobacter pylori SouthAfrica7	Helicobacter pylori	SouthAfrica7
GCA_000185745	SSU_1	3	Taylorella equigenitalis MCE9	Taylorella equigenitalis	MCE9
GCA_000185805	SSU_1:SSU_2:SSU_3	1:1:1	Thermovibrio ammonificans HB-1	Thermovibrio ammonificans	HB-1
GCA_000185885	SSU_3:SSU_5:SSU_1:SSU_2:SSU_4	2:1:1:1:1	Staphylococcus pseudintermedius HKU10-03	Staphylococcus pseudintermedius	HKU10-03
GCA_000185905	SSU_1:SSU_2	1:1	Mesorhizobium ciceri biovar biserrulae WSM1271	Mesorhizobium ciceri	WSM1271
GCA_000185965	SSU_1:SSU_2	1:1	Pseudoxanthomonas suwonensis 11-1	Pseudoxanthomonas suwonensis	44136
GCA_000185985	SSU_1	1	Candidatus Blochmannia vafer str. BVAF	Candidatus Blochmannia	BVAF
GCA_000186005	SSU_1:SSU_2	1:1	Mycoplasma fermentans M64	Mycoplasma fermentans	M64
GCA_000186225	SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1	Bacteroides helcogenes P 36-108	Bacteroides helcogenes	P 36-108
GCA_000186245	SSU_1	2	Nitratifractor salsuginis DSM 16511	Nitratifractor salsuginis	DSM 16511
GCA_000186265	SSU_2:SSU_1:SSU_3:SSU_4	2:1:1:1	Cellulophaga algicola DSM 14237	Cellulophaga algicola	DSM 14237
GCA_000186345	SSU_1:SSU_2	2:1	Isosphaera pallida ATCC 43644	Isosphaera pallida	ATCC 43644
GCA_000186365	SSU_1	1	Desulfurococcus mucosus DSM 2162	Desulfurococcus mucosus	DSM 2162
GCA_000186385	SSU_1	4	Deinococcus maricopensis DSM 21211	Deinococcus maricopensis	DSM 21211
GCA_000186405	SSU_2:SSU_1:SSU_3	2:1:1	Streptococcus suis JS14	Streptococcus suis	JS14
GCA_000186585	SSU_6:SSU_5:SSU_8:SSU_1:SSU_2:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1:1	Vibrio vulnificus MO6-24/O	Vibrio vulnificus	MO6-24/O
GCA_000186665	SSU_2:SSU_1:SSU_3	4:1:1	Acinetobacter baumannii D1279779	Acinetobacter baumannii	D1279779
GCA_000186725	SSU_1:SSU_5:SSU_2:SSU_3:SSU_4	3:1:1:1:1	Yersinia pestis biovar Medievalis str. Harbin 35	Yersinia pestis	Harbin 35
GCA_000186745	SSU_8:SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1:1	Bacillus subtilis BSn5	Bacillus subtilis	BSn5
GCA_000186885	SSU_1	2	Desulfobulbus propionicus DSM 2032	Desulfobulbus propionicus	DSM 2032
GCA_000186985	SSU_1	1	Mycoplasma haemofelis Ohio2	Mycoplasma haemofelis	Ohio2
GCA_000187005	SSU_1:SSU_2	1:1	Thermus scotoductus SA-01	Thermus scotoductus	SA-01
GCA_000187205	SSU_2:SSU_1	4:2	Acinetobacter baumannii MDR-TJ	Acinetobacter baumannii	MDR-TJ
GCA_000187705	SSU_1:SSU_2:SSU_3	5:1:1	Rahnella sp. Y9602	Rahnella sp.	Y9602
GCA_000188215	SSU_3:SSU_1:SSU_2	4:1:1	Acinetobacter baumannii 1656-2	Acinetobacter baumannii	1656-2
GCA_000188715	SSU_1	5	Streptococcus dysgalactiae subsp. equisimilis ATCC 12394	Streptococcus dysgalactiae	ATCC 12394
GCA_000188735	SSU_2:SSU_1:SSU_3	5:1:1	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74	Salmonella enterica	ST4/74
GCA_000188955	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	2:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20	Salmonella enterica	507440-20
GCA_000189295	SSU_1	2	Desulfovibrio desulfuricans ND132	Desulfovibrio desulfuricans	ND132
GCA_000189415	SSU_2:SSU_1:SSU_3:SSU_4	2:1:1:1	Weeksella virosa DSM 16922	Weeksella virosa	DSM 16922
GCA_000189435	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Staphylococcus aureus O11	Staphylococcus aureus	O11
GCA_000189455	SSU_2:SSU_1:SSU_3	2:1:1	Staphylococcus aureus O46	Staphylococcus aureus	O46
GCA_000189495	SSU_1	5	Staphylococcus pseudintermedius ED99	Staphylococcus pseudintermedius	ED99
GCA_000189515	SSU_1:SSU_2	3:1	Lactobacillus helveticus H10	Lactobacillus helveticus	H10
GCA_000189535	SSU_1	4	Pseudarthrobacter phenanthrenivorans Sphe3	Pseudarthrobacter phenanthrenivorans	Sphe3
GCA_000189555	SSU_1	1	Sulfolobus islandicus REY15A	Sulfolobus islandicus	REY15A
GCA_000189575	SSU_1	1	Sulfolobus islandicus HVE10/4	Sulfolobus islandicus	HVE10/4
GCA_000189735	SSU_1:SSU_2	2:2	Acinetobacter baumannii TCDC-AB0715	Acinetobacter baumannii	TCDC-AB0715
GCA_000189775	SSU_1	5	Thermoanaerobacterium xylanolyticum LX-11	Thermoanaerobacterium xylanolyticum	LX-11
GCA_000190315	SSU_1	1	Vulcanisaeta moutnovskia 768-28	Vulcanisaeta moutnovskia	768-28
GCA_000190435	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Sphaerochaeta globosa str. Buddy	Sphaerochaeta globosa	Buddy
GCA_000190515	SSU_8:SSU_5:SSU_9:SSU_10:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	5:1:1:1:1:1:1:1:1:1	Bacillus thuringiensis serovar finitimus YBT-020	Bacillus thuringiensis	YBT-020
GCA_000190535	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Odoribacter splanchnicus DSM 20712	Odoribacter splanchnicus	DSM 220712
GCA_000190555	SSU_1	3	Deinococcus proteolyticus MRP	Deinococcus proteolyticus	MRP
GCA_000190575	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1:1	Bacteroides salanitronis DSM 18170	Bacteroides salanitronis	DSM 18170
GCA_000190595	SSU_1:SSU_2:SSU_3	2:1:1	Cellulophaga lytica DSM 7489	Cellulophaga lytica	DSM 7489
GCA_000190635	SSU_2:SSU_1	3:1	Syntrophobotulus glycolicus DSM 8271	Syntrophobotulus glycolicus	DSM 8271
GCA_000190735	SSU_1:SSU_2	2:2	Pseudopedobacter saltans DSM 12145	Pseudopedobacter saltans	DSM 12145
GCA_000191045	SSU_1	2	Desulfurobacterium thermolithotrophum DSM 11699	Desulfurobacterium thermolithotrophum	DSM 11699
GCA_000191145	SSU_1:SSU_2	1:1	Acinetobacter pittii PHEA-2	Acinetobacter pittii	PHEA-2
GCA_000191165	SSU_3:SSU_5:SSU_2:SSU_1:SSU_4	3:2:2:1:1	Lactobacillus delbrueckii subsp. bulgaricus 2038	Lactobacillus delbrueckii	2038
GCA_000191425	SSU_3:SSU_1:SSU_2	2:1:1	Neisseria meningitidis G2136	Neisseria meningitidis	G2136
GCA_000191445	SSU_1:SSU_2	3:1	Neisseria meningitidis H44/76	Neisseria meningitidis	H44/76
GCA_000191465	SSU_1:SSU_2:SSU_3	2:1:1	Neisseria meningitidis M01-240149	Neisseria meningitidis	M01-240149
GCA_000191485	SSU_1:SSU_2	2:2	Neisseria meningitidis M01-240355	Neisseria meningitidis	M01-240355
GCA_000191505	SSU_3:SSU_1:SSU_2	2:1:1	Neisseria meningitidis M04-240196	Neisseria meningitidis	M04-240196
GCA_000191525	SSU_1	4	Neisseria meningitidis NZ-05/33	Neisseria meningitidis	NZ-05/33
GCA_000191545	SSU_1:SSU_2	3:1	Lactobacillus amylovorus	Lactobacillus amylovorus	30SC
GCA_000191565	SSU_1	3	Riemerella anatipestifer RA-GD	Riemerella anatipestifer	RA-GD
GCA_000191585	SSU_1	2	Methanobacterium lacus	Methanobacterium lacus	AL-21
GCA_000191905	SSU_2:SSU_1	10:1	Clostridium acetobutylicum EA 2018	Clostridium acetobutylicum	EA 2018
GCA_000191925	SSU_1	1	Chlamydia psittaci 6BC	Chlamydia psittaci	6BC
GCA_000192045	SSU_1	2	Xanthomonas perforans 91-118	Xanthomonas perforans	91-118
GCA_000192105	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Yersinia enterocolitica subsp. palearctica 105.5R(r)	Yersinia enterocolitica	105.5R(r)
GCA_000192315	SSU_1	1	Helicobacter pylori 2017	Helicobacter pylori	2017
GCA_000192335	SSU_1	1	Helicobacter pylori 2018	Helicobacter pylori	2018
GCA_000192395	SSU_1:SSU_2	1:1	Mycoplasma capricolum subsp. capripneumoniae M1601	Mycoplasma capricolum	M1601
GCA_000192635	SSU_2:SSU_3:SSU_1	2:2:1	Agrobacterium sp. H13-3	Agrobacterium sp.	H13-3
GCA_000192705	SSU_1:SSU_2	5:1	Lactococcus lactis subsp. lactis CV56	Lactococcus lactis	CV56
GCA_000192725	SSU_1:SSU_2	2:1	Brucella melitensis M28	Brucella melitensis	M28
GCA_000192745	SSU_1	2	Polymorphum gilvum SL003B-26A1	Polymorphum gilvum	SL003B-26A1
GCA_000192845	SSU_1	4	Sphingobacterium sp. 21	Sphingobacterium sp.	21
GCA_000192865	SSU_2:SSU_3:SSU_1	4:2:1	Marinomonas mediterranea MMB-1	Marinomonas mediterranea	MMB-1
GCA_000192885	SSU_2:SSU_1	2:1	Brucella melitensis M5-90	Brucella melitensis	M5-90
GCA_000193185	SSU_1	1	Mycobacterium tuberculosis W-148	Mycobacterium tuberculosis	W-148
GCA_000193205	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Aerococcus urinae ACS-120-V-Col10a	Aerococcus urinae	ACS-120-V-Col10a
GCA_000193355	SSU_2:SSU_1	12:1	Bacillus thuringiensis serovar chinensis CT-43	Bacillus thuringiensis	CT-43
GCA_000193375	SSU_1	1	Thermoproteus uzoniensis 768-20	Thermoproteus uzoniensis	768-20
GCA_000193395	SSU_1:SSU_2:SSU_3	2:1:1	Prevotella denticola F0289	Prevotella denticola	F0289
GCA_000193435	SSU_1:SSU_2	2:1	Caldicellulosiruptor lactoaceticus 6A	Caldicellulosiruptor lactoaceticus	6A
GCA_000193595	SSU_1	3	Bordetella pertussis B1917	Bordetella pertussis	B1917
GCA_000193615	SSU_1	3	Bordetella pertussis B1920	Bordetella pertussis	B1920
GCA_000194075	SSU_1	1	Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743	Mycobacterium tuberculosis	63839
GCA_000194115	SSU_1	4	Lactobacillus amylovorus GRL1118	Lactobacillus amylovorus	GRL1118
GCA_000194135	SSU_1	2	Hippea maritima DSM 10411	Hippea maritima	DSM 10411
GCA_000194605	SSU_1	2	Fluviicola taffensis DSM 16823	Fluviicola taffensis	DSM 16823
GCA_000194625	SSU_1	1	Archaeoglobus veneficus SNP6	Archaeoglobus veneficus	SNP6
GCA_000194745	SSU_2:SSU_1	4:1	Burkholderia gladioli BSR3	Burkholderia gladioli	BSR3
GCA_000194805	SSU_1:SSU_2:SSU_3	3:1:1	Pseudomonas brassicacearum subsp. brassicacearum NFM421	Pseudomonas brassicacearum	NFM421
GCA_000195065	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Vibrio cholerae LMA3984-4	Vibrio cholerae	LMA3984-4
GCA_000195085	SSU_1	1	Candidatus Pelagibacter sp. IMCC9063	Candidatus Pelagibacter	IMCC9063
GCA_000195105	SSU_1	4	Pseudomonas stutzeri DSM 4166	Pseudomonas stutzeri	DSM 4166
GCA_000195275	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Treponema succinifaciens DSM 2489	Treponema succinifaciens	DSM 2489
GCA_000195295	SSU_1	1	Desulfobacca acetoxidans DSM 11109	Desulfobacca acetoxidans	DSM 11109
GCA_000195315	SSU_1:SSU_2	1:1	Coriobacterium glomerans PW2	Coriobacterium glomerans	PW2
GCA_000195335	SSU_1	3	Marinithermus hydrothermalis DSM 14884	Marinithermus hydrothermalis	DSM 14884
GCA_000195395	SSU_2:SSU_1:SSU_3	4:1:1	Listeria monocytogenes J1-220	Listeria monocytogenes	J1-220
GCA_000195435	SSU_1:SSU_2	4:1	Listeria monocytogenes J1816	Listeria monocytogenes	J1816
GCA_000195515	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	1:1:1:1:1:1	Bacillus amyloliquefaciens TA208	Bacillus amyloliquefaciens	TA208
GCA_000195535	SSU_1	3	Francisella cf. novicida Fx1	Francisella cf.	Fx1
GCA_000195555	SSU_2:SSU_1	2:1	Francisella hispaniensis	Francisella hispaniensis	3523
GCA_000195575	SSU_1:SSU_2:SSU_3	5:2:1	Carnobacterium sp. 17-4	Carnobacterium sp.	43938
GCA_000195675	SSU_1	3	Bordetella bronchiseptica RB50	Bordetella bronchiseptica	RB50
GCA_000195695	SSU_1	3	Bordetella parapertussis 12822	Bordetella parapertussis	12822
GCA_000195715	SSU_1	3	Bordetella pertussis Tohama I	Bordetella pertussis	Tohama I
GCA_000195735	SSU_1	1	Rickettsia prowazekii str. Madrid E	Rickettsia prowazekii	Madrid E
GCA_000195755	SSU_2:SSU_1:SSU_3:SSU_4	2:1:1:1	Desulfovibrio vulgaris str. Hildenborough	Desulfovibrio vulgaris	Hildenborough
GCA_000195775	SSU_1:SSU_2:SSU_3	2:1:1	Rhodopseudomonas palustris CGA009	Rhodopseudomonas palustris	CGA009
GCA_000195795	SSU_1:SSU_2	5:1	Listeria innocua Clip11262	Listeria innocua	Clip11262
GCA_000195815	SSU_1:SSU_2	4:1	Corynebacterium diphtheriae NCTC 13129	Corynebacterium diphtheriae	NCTC 13129
GCA_000195835	SSU_1	1	Mycobacterium tuberculosis variant bovis AF2122/97	Mycobacterium tuberculosis	AF2122/97
GCA_000195855	SSU_1	1	Mycobacterium leprae TN	Mycobacterium leprae	TN
GCA_000195875	SSU_1	1	Mycoplasma pulmonis UAB CTIP	Mycoplasma pulmonis	UAB CTIP
GCA_000195895	SSU_1:SSU_2:SSU_3	1:1:1	Methanosarcina barkeri str. Fusaro	Methanosarcina barkeri	Fusaro
GCA_000195915	SSU_1	1	Thermoplasma acidophilum DSM 1728	Thermoplasma acidophilum	DSM1728
GCA_000195935	SSU_1	1	Pyrococcus abyssi GE5	Pyrococcus abyssi	Orsay
GCA_000195955	SSU_1	1	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis	H37Rv
GCA_000195975	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Synechococcus sp. WH 8102	Synechococcus sp.	WH 8102
GCA_000195995	SSU_3:SSU_2:SSU_1:SSU_4	3:2:1:1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	Salmonella enterica	CT18
GCA_000196015	SSU_1	4	Cupriavidus metallidurans CH34	Cupriavidus metallidurans	CH34
GCA_000196035	SSU_2:SSU_5:SSU_1:SSU_3:SSU_4	2:1:1:1:1	Listeria monocytogenes EGD-e	Listeria monocytogenes	EGD-e
GCA_000196055	SSU_1:SSU_2	6:1	Streptococcus agalactiae NEM316	Streptococcus agalactiae	NEM316
GCA_000196075	SSU_1	1	Tropheryma whipplei TW08/27	Tropheryma whipplei	TW08/27
GCA_000196095	SSU_5:SSU_7:SSU_3:SSU_8:SSU_1:SSU_2:SSU_6:SSU_4	2:2:2:1:1:1:1:1	Vibrio parahaemolyticus RIMD 2210633	Vibrio parahaemolyticus	O3:K6 substr. RIMD 2210633
GCA_000196115	SSU_1	1	Rhodopirellula baltica SH 1	Rhodopirellula baltica	1
GCA_000196135	SSU_1	3	Wolinella succinogenes DSM 1740	Wolinella succinogenes	DSMZ 1740
GCA_000196155	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	2:1:1:1:1:1	Photorhabdus laumondii subsp. laumondii TTO1	Photorhabdus laumondii	TTO1
GCA_000196215	SSU_1	1	Borreliella bavariensis PBi	Borreliella bavariensis	PBi
GCA_000196235	SSU_1	5	Arthrobacter sp. FB24	Arthrobacter sp.	FB24
GCA_000196255	SSU_6:SSU_5:SSU_9:SSU_8:SSU_13:SSU_10:SSU_1:SSU_2:SSU_14:SSU_11:SSU_7:SSU_3:SSU_12:SSU_4	2:1:1:1:1:1:1:1:1:1:1:1:1:1	Photobacterium profundum SS9	Photobacterium profundum	SS9
GCA_000196275	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Deinococcus geothermalis DSM 11300	Deinococcus geothermalis	DSM 11300
GCA_000196295	SSU_1:SSU_2	3:1	Neisseria lactamica 020-06	Neisseria lactamica	020-06
GCA_000196315	SSU_1	2	Croceibacter atlanticus HTCC2559	Croceibacter atlanticus	HTCC2559
GCA_000196335	SSU_2:SSU_5:SSU_1:SSU_3:SSU_4	2:1:1:1:1	Corynebacterium glutamicum ATCC 13032	Corynebacterium glutamicum	DSM 20300 = ATCC 13032
GCA_000196355	SSU_1	1	Nitrosospira multiformis ATCC 25196	Nitrosospira multiformis	ATCC 25196
GCA_000196395	SSU_2:SSU_5:SSU_1:SSU_3:SSU_4	5:1:1:1:1	Aeromonas salmonicida subsp. salmonicida A449	Aeromonas salmonicida	A449
GCA_000196435	SSU_1	2	Bartonella tribocorum CIP 105476	Bartonella tribocorum	type strain:506 = CIP 105476
GCA_000196455	SSU_2:SSU_3:SSU_1:SSU_4	2:2:1:1	Acetoanaerobium sticklandii	Acetoanaerobium sticklandii	DSM 519
GCA_000196475	SSU_3:SSU_1:SSU_2	5:1:1	Photorhabdus asymbiotica	Photorhabdus asymbiotica	ATCC43949
GCA_000196495	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3	5:2:1:1:1:1:1	Aliivibrio salmonicida LFI1238	Aliivibrio salmonicida	LFI1238
GCA_000196515	SSU_1:SSU_2	3:1	'Nostoc azollae' 0708	'Nostoc azollae'	708
GCA_000196535	SSU_1	2	Mobiluncus curtisii ATCC 43063	Mobiluncus curtisii	ATCC 43063
GCA_000196555	SSU_1:SSU_2	3:1	Bifidobacterium longum subsp. longum JCM 1217	Bifidobacterium longum	JCM 1217
GCA_000196575	SSU_2:SSU_1	3:1	Bifidobacterium longum subsp. infantis 157F	Bifidobacterium longum	157F
GCA_000196595	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Streptococcus pneumoniae TCH8431/19A	Streptococcus pneumoniae	TCH8431/19A
GCA_000196615	SSU_2:SSU_1:SSU_3	4:2:1	Erwinia billingiae Eb661	Erwinia billingiae	Eb661
GCA_000196655	SSU_1	2	Methanohalobium evestigatum Z-7303	Methanohalobium evestigatum	Z-7303
GCA_000196675	SSU_1	3	Pseudonocardia dioxanivorans CB1190	Pseudonocardia dioxanivorans	CB1190
GCA_000196695	SSU_1:SSU_2	3:1	Rhodococcus hoagii 103S	Rhodococcus hoagii	103S
GCA_000196735	SSU_3:SSU_1:SSU_2:SSU_4	7:1:1:1	Bacillus amyloliquefaciens DSM 7	Bacillus amyloliquefaciens	DSM 7
GCA_000196755	SSU_1	2	Helicobacter pylori B8	Helicobacter pylori	B8
GCA_000196795	SSU_1:SSU_2:SSU_3	4:1:1	Acinetobacter oleivorans DR1	Acinetobacter oleivorans	DR1
GCA_000196815	SSU_1	1	Nitrospira defluvii	Nitrospira defluvii	NA
GCA_000196835	SSU_3:SSU_1:SSU_2	2:1:1	Amycolatopsis mediterranei U32	Amycolatopsis mediterranei	U32
GCA_000196855	SSU_2:SSU_1	3:1	Leuconostoc gelidum subsp. gasicomitatum LMG 18811	Leuconostoc gelidum	type strain: LMG 18811
GCA_000196875	SSU_1	4	Halomonas elongata DSM 2581	Halomonas elongata	type strain: DSM 2581
GCA_000197735	SSU_1:SSU_2	5:1	Glutamicibacter arilaitensis Re117	Glutamicibacter arilaitensis	Re117
GCA_000197755	SSU_2:SSU_1:SSU_3:SSU_4	3:1:1:1	Listeria monocytogenes SLCC2755	Listeria monocytogenes	SLCC2755
GCA_000198515	SSU_1	3	gamma proteobacterium HdN1	gamma proteobacterium	HdN1
GCA_000198775	SSU_1:SSU_2:SSU_3	1:1:1	Paraburkholderia rhizoxinica HKI 454	Paraburkholderia rhizoxinica	HKI 454
GCA_000199675	SSU_1:SSU_2	1:1	Anaerolinea thermophila UNI-1	Anaerolinea thermophila	UNI-1
GCA_000200595	SSU_1:SSU_2	1:1	Helicobacter felis ATCC 49179	Helicobacter felis	ATCC 49179
GCA_000200735	SSU_1	1	Mycoplasma haemofelis str. Langford 1	Mycoplasma haemofelis	Langford 1
GCA_000202635	SSU_1:SSU_2	1:1	Microbacterium testaceum StLB037	Microbacterium testaceum	StLB037
GCA_000202835	SSU_1:SSU_2	1:1	Acidiphilium multivorum AIU301	Acidiphilium multivorum	AIU301
GCA_000203195	SSU_1	7	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069	Streptococcus gallolyticus	ATCC BAA-2069
GCA_000203215	SSU_1	1	Mycoplasma suis KI3806	Mycoplasma suis	KI3806
GCA_000203835	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	2:1:1:1:1	Streptomyces coelicolor A3(2)	Streptomyces coelicolor	A3(2)
GCA_000203855	SSU_2:SSU_3:SSU_1	2:2:1	Lactobacillus plantarum WCFS1	Lactobacillus plantarum	WCFS1
GCA_000203875	SSU_1:SSU_2:SSU_3:SSU_4	3:1:1:1	Cupriavidus pinatubonensis JMP134	Cupriavidus pinatubonensis	JMP134
GCA_000203895	SSU_1	2	Paracoccus denitrificans PD1222	Paracoccus denitrificans	PD1222
GCA_000203915	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	2:1:1:1:1	Burkholderia ambifaria AMMD	Burkholderia ambifaria	AMMD
GCA_000203935	SSU_7:SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	2:2:1:1:1:1:1	Shewanella sp. ANA-3	Shewanella sp.	ANA-3
GCA_000203955	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1:1	Burkholderia cenocepacia HI2424	Burkholderia cenocepacia	HI2424
GCA_000204075	SSU_1:SSU_2	2:2	Trichormus variabilis ATCC 29413	Trichormus variabilis	ATCC 29413
GCA_000204115	SSU_4:SSU_2:SSU_5:SSU_1:SSU_3	5:2:1:1:1	Aeromonas veronii B565	Aeromonas veronii	B565
GCA_000204135	SSU_1	1	Chlamydia pecorum E58	Chlamydia pecorum	E58
GCA_000204155	SSU_1:SSU_2:SSU_3	1:1:1	Verrucosispora maris AB-18-032	Verrucosispora maris	AB-18-032
GCA_000204255	SSU_1	1	Chlamydia psittaci 6BC	Chlamydia psittaci	6BC
GCA_000204275	SSU_3:SSU_5:SSU_1:SSU_2:SSU_6:SSU_4	2:1:1:1:1:1	Bacillus amyloliquefaciens LL3	Bacillus amyloliquefaciens	LL3
GCA_000204295	SSU_1:SSU_2	3:1	Pseudomonas mendocina NK-01	Pseudomonas mendocina	NK-01
GCA_000204415	SSU_1:SSU_2	1:1	Methanothrix soehngenii GP6	Methanothrix soehngenii	GP6
GCA_000204565	SSU_4:SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3	3:1:1:1:1:1:1:1	Clostridium botulinum BKT015925	Clostridium botulinum	BKT015925
GCA_000204625	SSU_3:SSU_1:SSU_2	2:1:1	Streptococcus suis ST3	Streptococcus suis	ST3
GCA_000204645	SSU_1	3	Alicycliphilus denitrificans K601	Alicycliphilus denitrificans	K601
GCA_000204665	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Staphylococcus aureus subsp. aureus T0131	Staphylococcus aureus	T0131
GCA_000204925	SSU_1	1	Metallosphaera cuprina Ar-4	Metallosphaera cuprina	Ar-4
GCA_000204985	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Lactobacillus johnsonii DPC 6026	Lactobacillus johnsonii	DPC 6026
GCA_000208385	SSU_1:SSU_2	2:1	Sphaerochaeta coccoides DSM 17374	Sphaerochaeta coccoides	DSM 17374
GCA_000208405	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Selenomonas sputigena ATCC 35185	Selenomonas sputigena	ATCC 35185
GCA_000209655	SSU_1	2	Pusillimonas sp. T7-7	Pusillimonas sp.	T7-7
GCA_000209675	SSU_1	6	Gallibacterium anatis UMN179	Gallibacterium anatis	UMN179
GCA_000209755	SSU_2:SSU_1	5:1	Listeria monocytogenes L99	Listeria monocytogenes	L99
GCA_000209795	SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1:1	Bacillus subtilis subsp. natto BEST195	Bacillus subtilis	BEST195
GCA_000210155	SSU_1	2	Geobacter sulfurreducens KN400	Geobacter sulfurreducens	KN400
GCA_000210315	SSU_1	5	Staphylococcus aureus subsp. aureus ED133	Staphylococcus aureus	ED133
GCA_000210415	SSU_1:SSU_5:SSU_2:SSU_6:SSU_3:SSU_4	4:1:1:1:1:1	Clostridioides difficile CF5	Clostridioides difficile	CF5
GCA_000210435	SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_11:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1:1:1	Clostridioides difficile M120	Clostridioides difficile	M120
GCA_000210455	SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1	Clostridioides difficile 2007855	Clostridioides difficile	2007855
GCA_000210475	SSU_2:SSU_1:SSU_3:SSU_4	4:1:1:1	Escherichia coli ETEC H10407	Escherichia coli	ETEC H10407
